Year,Spectators,TitleSponsors,Broadcasting,Interest,Inflation,EconomicGrowth,Clubs,FA_Pitcher,FA_Hitter,Sales
2000,"3,220,624",30,46,4.75,0.8,11.3,8,4,1,
2001,"2,507,549",30,50,5,2.3,8.9,8,2,4,
2002,"2,991,064",35,80,4.5,4.1,4.5,8,1,3,
2003,"2,394,570",35,83.33,4.25,2.8,7.4,8,2,3,
2004,"2,722,801",35,83.67,3.75,3.5,2.9,8,5,7,
2005,"2,331,978",35,90,3.5,3.6,4.9,8,2,9,
2006,"3,387,843",45,79,3.25,2.8,3.9,8,2,12,
2007,"3,040,254",45,115,4,2.2,5.2,8,7,4,1633
2008,"4,104,429",45,115,4.75,2.5,5.5,8,2,7,
2009,"5,256,332",45,130,5,4.7,2.8,8,2,5,1833
2010,"5,925,285",35,146,2.5,2.8,0.7,8,0,6,2003
2011,"5,928,626",40,212,2.25,2.9,6.5,8,2,3,2163
2012,"6,810,028",50,282,3,4,3.7,8,7,11,2657
2013,"7,156,157",65,302,2.75,2.2,2.3,8,4,7,3182
2014,"6,441,945",65,302,2.5,1.3,2.9,9,3,12,3305
2015,"6,509,915",65,450,2.25,1.3,3.3,9,9,11,4023
2016,"7,360,530",67,560,1.75,0.7,2.6,10,8,12,4546
2017,"8,339,577",67,560,1.25,1,2.9,10,6,8,