번호,이름,연도,연봉(=Y),총액(억),계약년수(년),연도,ERA_A,FIP_A,WAR_A,K/9_A,BB/9_A,HR/9_A,BIPA_A,LOB_A,AVG_A,OBP_A,WHIP_A,IP/G_A,ERA_B,FIP_B,WAR_B,K/9_B,BB/9_B,HR/9_B,BIPA_B,LOB_B,AVG_B,OBP_B,WHIP_B,IP/G_B
1,이강철,2000,2.67,8,3,1991,3.19,3.01,5.87,8.09,2.26,0.84,0.248,70.4,0.206,0.271,0.99,6,3.11,3.4,4.77,8.03,2.36,0.9,0.296,78.1,0.247,0.311,1.18,5.8
2,조규제,2004,2.25,4.5,2,1991,1.64,2.44,8.08,8.41,3.67,0.32,0.193,81.5,0.148,0.244,0.9,2.9,5.63,5.29,0.24,9.23,7.2,1.35,0.33,73.6,0.265,0.41,1.78,1.1
3,진필중,2004,7.50,30,4,1999,2.37,3.3,5.75,9,2.92,0.71,0.264,82.7,0.206,0.279,1.06,1.6,3.08,3.8,1.81,9.93,3.08,1.54,0.327,88.2,0.262,0.328,1.34,1.4
4,이상목,2004,5.50,22,4,1999,4.29,4.25,4.57,7.33,1.52,1.36,0.272,69.3,0.244,0.283,1.11,5.6,3.54,3.25,5.6,5.73,1.41,0.87,0.314,75,0.282,0.311,1.25,5.6
5,박명환,2007,10.00,40,4,2004,2.5,2.33,6.53,9.19,2.95,0.23,0.302,75.8,0.224,0.294,1.15,6.1,3.46,2.41,3.17,9.71,3.53,0.44,0.281,66.9,0.207,0.288,1.13,4.4
6,임경완,2012,3.67,11,3,2004,3.16,3.3,3.38,6.15,3.5,0.34,0.318,77.6,0.267,0.355,1.36,1.6,3.15,3.86,1.44,4.66,2.06,0.55,0.275,70.3,0.251,0.308,1.14,0.9
7,이승호,2012,6.00,24,4,2001,3.55,4.81,4.68,6.73,4.69,1.1,0.279,77.6,0.249,0.343,1.43,6.3,3.5,4.34,1.12,7.65,5.85,1.05,0.252,75.8,0.216,0.348,1.42,2.3
8,정대현,2012,9.00,36,4,2007,0.92,2.55,3.74,7.47,2.76,0.35,0.234,90,0.186,0.272,0.95,1.3,1.48,3.21,2.26,6.42,4.12,0.17,0.273,84.8,0.225,0.32,1.24,1
9,송신영,2012,4.33,13,3,2011,2.24,3.21,2.65,7.09,2.49,0.5,0.299,84.5,0.249,0.31,1.2,1.2,2.24,3.21,2.65,7.09,2.49,0.5,0.299,84.5,0.249,0.31,1.2,1.2
10,정현욱,2013,7.15,28.6,4,2008,3.4,3.25,3.58,6.87,3.9,0.21,0.284,70.7,0.232,0.312,1.28,2.4,3.16,2.74,1.62,6.89,3.02,0.14,0.313,69.2,0.256,0.313,1.25,1.2
11,권혁,2015,8.00,32,4,2007,2.79,2.21,2.84,11.64,4.54,0.23,0.281,73.1,0.184,0.293,1.11,1.3,2.86,4.03,1.18,9.87,2.86,1.04,0.274,77.2,0.216,0.277,1.1,0.9
12,장원준,2015,21.00,84,4,2011,3.14,3.41,5.23,6.43,3.09,0.35,0.339,75.7,0.283,0.35,1.42,6.2,4.59,5.07,3.55,6.21,3.89,0.87,0.309,68.4,0.273,0.348,1.47,5.7
13,송은범,2015,8.50,34,4,2009,3.13,4.37,4.17,6.21,2.95,1.03,0.301,81,0.269,0.33,1.37,4.8,7.32,5.98,0.19,6.86,4.92,1.26,0.389,60.7,0.344,0.422,2,2.9
14,배영수,2015,7.00,21,3,2004,2.61,3.17,6.54,6.83,3.51,0.29,0.287,76.4,0.237,0.317,1.25,5.4,5.45,4.52,2.8,7.47,2.63,0.94,0.37,65.5,0.314,0.363,1.57,5.4
15,김사율,2015,3.63,14.5,4,2011,3.26,3.3,1.85,7.33,2.99,0.54,0.293,72.7,0.241,0.308,1.24,1.1,5.79,5.41,1.21,8.06,3.4,1.48,0.349,66.5,0.303,0.364,1.58,2.4
16,윤길현,2016,9.50,38,4,2015,3.16,4.72,2.31,8.9,5.17,1.01,0.298,82.4,0.244,0.345,1.5,0.9,3.16,4.72,2.31,8.9,5.17,1.01,0.298,82.4,0.244,0.345,1.5,0.9
17,손승락,2016,15.00,60,4,2013,2.3,2.9,3.17,7.47,2.87,0.14,0.28,77.6,0.22,0.285,1.12,1.1,3.82,3.52,0.92,9.25,1.91,0.88,0.372,67,0.296,0.336,1.4,1.1
18,정우람,2016,21.00,84,4,2011,1.81,2.83,4.11,6.49,2.19,0.29,0.229,79.5,0.189,0.246,0.89,1.4,3.21,2.63,3.24,11.57,3.6,0.39,0.304,72.9,0.207,0.286,1.14,1
19,심수창,2016,3.25,13,4,2009,5.31,6.06,1.11,4.21,4.21,1.55,0.305,74.9,0.301,0.382,1.64,5.8,6.01,4.28,-0.15,9.33,3.56,1.11,0.407,63.3,0.326,0.388,1.75,1.9
20,우규민,2017,16.25,65,4,2015,3.42,3.73,4.95,7.02,1,0.77,0.333,73.6,0.282,0.314,1.18,6.1,4.91,5.35,0.76,5.52,2.46,1.09,0.337,66.3,0.309,0.369,1.53,4.7
21,차우찬,2017,23.75,95,4,2010,2.14,3.33,4.83,7.98,3.63,0.36,0.295,81.9,0.232,0.315,1.24,3.4,4.73,5.02,3.18,7.09,3.84,0.95,0.336,70.4,0.29,0.365,1.53,6.4
22,김정수,2000,1.50,1.5,1,1992,3.16,3.9,3.9,6.86,4.25,0.6,0.283,76.8,0.238,0.343,1.34,5,4.58,3.95,0.89,10.95,3.31,1.27,0.313,70.7,0.234,0.329,1.22,0.7
23,송유석,2000,0.75,0.75,1,1991,2.97,3.79,3.75,4.57,3.83,0.49,0.269,76.3,0.244,0.332,1.29,3.9,4.72,5.26,1.25,5.6,2.96,1.43,0.285,69.7,0.269,0.336,1.39,1.6
24,송진우,2000,2.33,7,3,1990,1.82,2.3,7.16,7.15,3.79,0.14,0.232,80,0.183,0.271,1.04,2.6,4,4.53,4.48,6.36,2.94,1.16,0.278,68.9,0.251,0.312,1.29,5.3
25,조계현,2001,2.08,2.08,1,1996,2.07,3.21,6.04,5.45,2.11,0.56,0.238,81,0.212,0.267,0.99,7.1,3.74,4.04,2.14,5.36,2.63,0.71,0.27,70.5,0.244,0.307,1.2,5.6
26,김상진,2001,2.83,8.5,3,1995,2.11,2.37,7.55,6.85,1.9,0.26,0.28,77.2,0.229,0.277,1.04,7.7,3.84,4.16,2.22,6.37,3.14,0.81,0.312,72.8,0.271,0.342,1.37,4.1
27,김원형,2002,3.50,14,4,1998,2.52,3.17,4.67,6.54,2.52,0.6,0.277,75.6,0.236,0.296,1.15,2.9,4.37,4.65,2.54,5.83,3.5,1.17,0.286,67.4,0.263,0.334,1.37,5.9
28,강상수,2003,1.33,4,3,2000,1.77,3.1,3.33,8.37,2.79,0.63,0.246,81.3,0.195,0.264,0.99,1.4,4.58,5.18,0.25,5.4,5.89,0.98,0.33,73.2,0.301,0.411,1.8,1.4
29,송진우,2003,6.00,18,3,1990,1.82,2.3,7.16,7.15,3.79,0.14,0.232,80,0.183,0.271,1.04,2.6,2.99,3.31,7.18,6.75,2.21,0.66,0.284,75.3,0.242,0.296,1.15,7.1
30,가득염,2004,1.87,5.6,3,1994,4.28,3.97,2.19,4.61,3.61,0.61,0.297,69.6,0.27,0.346,1.39,6,5.8,3.24,0.55,7.32,2.27,0.76,0.302,53.9,0.254,0.319,1.15,0.4
31,조웅천,2004,2.67,8,3,2003,1.97,2.62,3.65,8.69,2.2,0.81,0.304,90.1,0.242,0.298,1.15,1.2,1.97,2.62,3.65,8.69,2.2,0.81,0.304,90.1,0.242,0.298,1.15,1.2
32,오봉옥,2005,1.50,3,2,2000,2.86,3.6,3.7,8.74,3.97,0.72,0.288,76.5,0.232,0.316,1.32,2.4,5.97,4.57,0.61,4.62,3.28,1.04,0.325,65.4,0.304,0.375,1.53,1.5
33,임창용,2005,9.00,18,2,1999,2.14,2.89,8.22,9.15,1.88,0.65,0.238,83.2,0.186,0.241,0.87,2,2.01,2.84,2.98,9,2.96,0.54,0.277,81.2,0.212,0.288,1.09,1.1
34,위재영,2006,2.67,8,3,1996,2.72,3.07,4.99,6.84,2.53,0.64,0.275,78.8,0.235,0.291,1.16,6.1,1.89,3.2,3.52,7.55,3.87,0.38,0.257,83.8,0.206,0.297,1.15,1.7
35,송진우,2006,7.00,14,2,1990,1.82,2.3,7.16,7.15,3.79,0.14,0.232,80,0.183,0.271,1.04,2.6,3.81,4.09,2.83,6.2,2.96,0.92,0.293,72.7,0.259,0.327,1.32,5.6
36,전병호,2007,4.50,9,2,1996,2.65,3.61,2.71,7.21,4.89,0.41,0.289,81.5,0.233,0.35,1.36,2.8,3.9,3.87,1.49,4.37,3.16,0.67,0.308,70.1,0.285,0.348,1.44,3.8
37,권준헌,2007,2.83,8.5,3,2003,3.19,3.38,2.72,6.48,2.23,0.87,0.289,75.5,0.252,0.306,1.16,1.4,1.98,4.37,0.62,6.8,2.55,1.06,0.293,63,0.258,0.308,1.25,1.1
38,김수경,2007,3.50,14,4,1998,2.76,2.62,5.4,9.45,3.83,0.34,0.272,73,0.201,0.29,1.13,5,3.78,3.37,1.34,6.72,3.78,0.53,0.345,73.6,0.288,0.365,1.54,5
39,김원형,2007,3.75,7.5,2,1998,2.52,3.17,4.67,6.54,2.52,0.6,0.277,75.6,0.236,0.296,1.15,2.9,4.07,4.15,1.14,3.36,2.65,0.71,0.299,71.9,0.286,0.35,1.39,5.8
40,차명주,2007,-,-,-,2001,3.42,3.77,2.82,6.75,4.25,0.56,0.284,73.5,0.24,0.329,1.36,1.2,3.27,3.25,0.42,4.5,2.05,0.41,0.257,62.5,0.235,0.29,1.14,0.4
41,노장진,2007,-,-,-,2002,2.54,3.42,4.7,10.32,3.82,1.06,0.284,87,0.217,0.3,1.19,2,4.66,4.77,0.23,5.96,6.7,0.93,0.275,76.3,0.249,0.381,1.66,1.2
42,조웅천,2008,4.00,8,2,2003,1.97,2.62,3.65,8.69,2.2,0.81,0.304,90.1,0.242,0.298,1.15,1.2,1.57,2.59,3.13,7.11,2.05,0.48,0.255,87.5,0.21,0.26,0.96,1.2
43,류택현,2008,2.17,6.5,3,2004,3.38,2.61,1.47,9.41,3.91,0.36,0.343,72.7,0.257,0.338,1.4,0.6,2.7,3.01,1.16,8.1,4.95,0.23,0.319,79.9,0.248,0.343,1.48,0.5
44,손민한,2009,15.00,15,1,2005,2.46,3.14,5.84,5.61,2.03,0.48,0.274,76.5,0.24,0.284,1.11,6,2.97,3.75,4.65,4.02,2.01,0.6,0.291,76.3,0.27,0.311,1.25,6.9
45,최원호,2009,2.00,2,1,1998,3.04,4.38,3.19,6.68,4.59,0.95,0.251,82.8,0.222,0.325,1.29,3.9,5.9,5.27,0.07,3.18,4.31,0.91,0.322,66.8,0.311,0.387,1.74,3.6
46,배영수,2011,8.50,17,2,2004,2.61,3.17,6.54,6.83,3.51,0.29,0.287,76.4,0.237,0.317,1.25,5.4,4.74,4.52,2.01,4.81,2.78,0.83,0.313,67.6,0.288,0.349,1.45,3.9
47,최영필,2011,-,-,-,2005,2.89,3.71,3.27,5.79,2.41,0.72,0.287,78.6,0.258,0.311,1.24,2.8,7.45,6.82,-0.35,4.31,3.64,2.15,0.368,69.4,0.365,0.424,1.95,2.6
48,정재훈,2012,7.00,28,4,2010,1.73,2.45,4.11,10.27,3.23,0.23,0.278,83.7,0.194,0.277,1.03,1.2,2.87,3.16,1.88,9.34,3.16,0.72,0.29,75.4,0.221,0.3,1.1,1.4
49,이상열,2012,3.00,6,2,2004,2.55,3.45,1.92,6.9,2.7,0.75,0.286,82.1,0.247,0.302,1.22,0.7,3.89,3.37,0.83,5.52,2.46,0.41,0.299,63.4,0.262,0.312,1.3,0.6
50,이승호,2012,1.00,2,2,2003,3.19,3.98,4.71,7.37,4.84,0.8,0.263,78.2,0.223,0.331,1.33,6.2,4.2,5.16,0.7,7.65,5.85,1.05,0.252,75.8,0.216,0.348,1.42,2.3
51,이정훈,2013,2.50,5,2,2009,3.03,3.97,2.34,6.05,3.39,0.61,0.323,82.1,0.283,0.36,1.41,1.3,4.67,3.74,0.4,6.5,3.45,0.41,0.312,60.7,0.268,0.345,1.4,1.1
52,유동훈,2013,3.75,7.5,2,2009,0.53,3.29,3.97,5.08,1.74,0.27,0.181,94.1,0.159,0.225,0.74,1.2,5.29,2.46,0.65,7.68,2.65,0,0.337,55.6,0.262,0.324,1.27,0.8
53,마일영,2013,2.67,8,3,2008,3.49,4.21,3.67,4.32,2.97,0.57,0.265,70.5,0.244,0.317,1.23,6.2,5.55,4.34,0.15,4.52,2.63,0.88,0.362,61.5,0.337,0.381,1.69,1.1
54,장원삼,2014,15.00,60,4,2008,2.85,3.38,5.57,6.78,3.07,0.48,0.287,78.4,0.24,0.305,1.21,6.2,4.38,4.76,1.84,6.08,2.46,1.23,0.304,70.2,0.277,0.333,1.34,5.7
55,강영식,2014,4.25,17,4,2002,3.79,4.2,1.99,8.34,4.36,1.04,0.285,75.7,0.237,0.331,1.36,3,3.86,3.25,1.08,9.08,4.31,0.23,0.304,69.8,0.227,0.323,1.29,0.7
56,박정진,2014,4.00,8,2,2011,3.24,2.97,2.74,9.63,2.93,0.63,0.291,72.8,0.224,0.285,1.14,1.3,5.82,4.69,0.15,8.72,5.82,0.83,0.263,58.2,0.213,0.337,1.43,0.7
57,윤성환,2015,20.00,80,4,2014,4.39,4.46,4.67,7.03,1.96,0.95,0.342,71.4,0.295,0.337,1.37,6.1,4.39,4.46,4.67,7.03,1.96,0.95,0.342,71.4,0.295,0.337,1.37,6.1
58,안지만,2015,16.25,65,4,2010,2.74,3.11,3.41,9.29,2.45,0.59,0.301,75.8,0.228,0.295,1.08,1.4,3.75,4.29,2.3,9.67,4.33,0.72,0.305,74.4,0.234,0.331,1.3,1.1
59,이재영,2015,2.75,5.5,2,2004,2.59,3.45,3.08,7.56,3.73,0.67,0.26,80.6,0.217,0.304,1.17,1.6,6.19,5.75,0.51,7.88,5.25,1.31,0.29,60.1,0.251,0.351,1.52,1.3
60,윤석민,2015,22.50,90,4,2011,2.45,2.75,6.62,9.3,2.3,0.52,0.297,77.5,0.223,0.281,1.05,6.4,4,3.94,1.92,7.8,2.88,0.92,0.329,73.6,0.274,0.331,1.36,2.9
61,송승준,2016,10.00,40,4,2013,3.76,3.83,4.05,7.14,3.44,0.59,0.321,73.8,0.267,0.336,1.4,5.8,4.75,4.77,1.76,8.06,3.31,1.22,0.312,70,0.27,0.333,1.42,5
62,마정길,2016,3.10,6.2,2,2008,2.91,3.88,2.39,6.51,3.01,0.68,0.221,77.5,0.196,0.283,1.01,1.5,5.06,5.09,0.44,7.96,4.1,0.96,0.302,69.3,0.254,0.355,1.42,1.1
63,이동현,2016,10.00,30,3,2002,2.67,3.72,3.52,7.65,3.1,0.94,0.288,85.1,0.243,0.314,1.23,1.6,4.4,3.5,1.04,8.34,3.03,0.61,0.359,66.3,0.288,0.347,1.43,1
64,채병용,2016,3.50,10.5,3,2007,2.84,3.38,3.93,5.18,2.9,0.49,0.285,77.6,0.255,0.317,1.26,5.2,6.07,5.45,0.48,8.46,2.93,1.84,0.36,70.5,0.309,0.365,1.57,2.5
65,김광현,2017,21.25,85,4,2010,2.37,3.63,7.12,8.5,3.9,0.6,0.281,83.1,0.221,0.309,1.22,6.3,3.88,4.7,3.69,7.62,2.69,1.12,0.307,72.8,0.263,0.322,1.31,5.1
66,이현승,2017,9.00,27,3,2009,4.18,4.92,3.58,6.35,3.49,1.32,0.276,75.1,0.253,0.327,1.34,5.7,4.84,5.27,0.24,6.4,2.65,1.25,0.31,68.1,0.283,0.346,1.42,1
67,양현종,2017,22.50,22.5,1,2015,2.44,4.57,8.14,7.67,3.81,0.88,0.277,87.2,0.232,0.319,1.24,5.8,3.68,4.75,5.69,6.56,3.46,0.85,0.292,71.5,0.255,0.324,1.34,6.5
68,봉중근,2017,3.75,7.5,2,2009,3.29,3.93,5.32,6.63,2.98,0.68,0.298,75.7,0.254,0.328,1.26,6.6,4.95,6.1,0.34,4.95,5.45,0.99,0.296,70.7,0.281,0.376,1.73,1.9